station_num,Date,Rainfall,Rain code
310093,10-2011,1.4,0
310093,11-2011,121.2,0
310093,12-2011,33.2,0
310093,01-2012,257.2,0
310093,02-2012,160.3,0
310093,03-2012,86.7,0
310093,04-2012,0.3,0
310093,05-2012,1.3,0
310093,06-2012,23.8,0
310093,09-2012,0,9
310093,10-2012,11.4,0
310093,11-2012,100.7,0
310093,12-2012,225.7,0
310093,01-2013,204.4,0
310093,02-2013,44.5,0
310093,03-2013,14.8,0
310093,04-2013,63.9,0
310093,05-2013,5.4,0
310093,08-2013,0,0
310093,09-2013,0,9
310093,10-2013,3.6,0
310093,11-2013,12.2,0
310093,12-2013,116.1,0
310093,01-2014,16.4,0
310093,02-2014,43.6,0
310093,03-2014,99.5,0
310093,04-2014,0.7,8
310093,05-2014,57.4,0
310093,06-2014,0.3,0
310093,08-2014,0.3,0
310093,09-2014,0.8,0
310093,10-2014,26.2,0
310093,11-2014,134.8,0
310093,12-2014,25.7,0
310093,01-2015,172.2,0
310093,02-2015,149.2,0
310093,03-2015,32.9,0
310093,04-2015,54.8,0
310093,05-2015,9.5,0
310093,06-2015,0.7,0
310093,08-2015,0,0
310093,09-2015,0.2,0
310093,10-2015,46.3,0
310093,11-2015,50,0
310093,12-2015,68.7,0
310093,01-2016,128.5,0
310093,02-2016,73.2,0
310093,03-2016,33,0
310093,04-2016,58.1,0
310093,05-2016,10.5,0
310093,08-2016,0,0
310093,09-2016,0.2,7
310093,10-2016,4.3,0
310093,11-2016,27.8,0
310093,12-2016,262.7,0
310093,01-2017,107.4,0
310093,02-2017,15.4,0
310093,03-2017,42.4,0
310093,04-2017,10.2,0
310093,05-2017,6.3,0
310093,08-2017,0,0
310093,09-2017,0,9
310093,10-2017,19.1,0
310093,11-2017,31.5,0
310093,12-2017,47,0
310093,01-2018,223.3,0
310093,02-2018,90.5,0
310093,03-2018,12.2,0
310093,04-2018,22.7,0
310093,05-2018,20.3,0
310093,06-2018,2.7,0
310093,08-2018,0,0
310093,09-2018,0.3,0
310093,10-2018,58.4,0
310093,11-2018,28.4,0
310093,12-2018,164.7,0
310093,01-2019,208.9,0
310093,02-2019,166.7,0
310093,03-2019,157.6,0
310093,04-2019,63.3,0
310093,05-2019,0,0
310093,06-2019,0,9
310093,08-2019,0,0
310093,09-2019,0,9
310093,10-2019,19.9,0
310093,11-2019,43.9,0
310093,12-2019,230.9,0
310093,01-2020,284.2,0
310093,02-2020,88.4,0
310093,03-2020,62.2,0
310093,04-2020,44.8,0
310093,05-2020,23.4,0
310093,08-2020,0.8,0
310093,09-2020,0,0
310093,10-2020,0,0
310093,11-2020,130.8,0
310093,12-2020,74.9,0
310093,01-2021,188.8,0
310093,02-2021,88.9,0
310093,03-2021,36.2,0
310093,04-2021,16,0
310093,05-2021,0,0
310093,08-2021,0,0
310093,09-2021,0.1,0
